id,channel_name,channel_id,file_name
0,民視,336,TV336
1,民視,2805,TV2805
2,台視,326,TV326
3,台視,312,TV312
4,中視,333,TV333
5,中視,1041,TV1041
6,華視,32,TV32
7,華視,2282,TV2282
8,公視,86,TV86
9,公視,28,TV28
10,好消息,104,TV104
11,客家電視,76,TV76
12,緯來綜合,2726,TV2726
13,八大第一,318,TV318
14,八大綜合,2286,TV2286
15,三立臺灣,35,TV35
16,三立臺灣,21,TV21
17,三立臺灣,2436,TV2436
18,三立都會,2435,TV2435
19,三立都會,1001,TV1001
20,三立都會,38,TV38
21,華藝綜合,342,TV342
22,東森綜合,372,TV372
23,東森超視,80,TV80
24,東森購物2,1156,TV1156
25,中天綜合,54,TV54
26,中天綜合,3072,TV3072
27,中天娛樂,324,TV324
28,TVBS歡樂,40,TV40
29,JET綜合,41,TV41
30,東森購物1,1155,TV1155
31,TVBS,2273,TV2273
32,TVBS,16,TV16
33,緯來育樂,338,TV338
34,緯來育樂（測試）,2772,TV2772
35,緯來日本,337,TV337
36,緯來日本,46,TV46
37,國興衛視,65,TV65
38,信大電視,422,TV422
39,八大娛樂,105,TV105
40,公視3台,1340,TV1340
41,好消息2,363,TV363
42,高點綜合,99,TV99
43,中天亞洲,2277,TV2277
44,中天亞洲,322,TV322
45,民視綜藝,98,TV98
46,民視第一台,34,TV34
47,民視台灣,36,TV36
48,龍華日韓,382,TV382
49,豬哥亮歌廳秀,75,TV75
50,豬哥會社,103,TV103
51,ELTA娛樂台,351,TV351
52,韓國娛樂,73,TV73
53,靖天國際,345,TV345
54,靖天育樂,1029,TV1029
55,靖天日本,108,TV108
56,靖天歡樂,51,TV51
57,三立綜合,315,TV315
58,三立綜合,2815,TV2815
59,靖天資訊,49,TV49
60,靖天綜合,308,TV308
61,中視經典,185,TV185
62,中視菁采,74,TV74
63,TVBS精采,66,TV66
64,TVBS精采,117,TV117
65,年代much,1359,TV1359
66,ELTA綜合,1137,TV1137
67,TVN台灣版,2288,TV2288
68,東森購物3,1584,TV1584
69,MOMO購物1,1585,TV1585
70,MOMO購物2,1586,TV1586
71,美好購物1,1591,TV1591
72,美好購物2,1592,TV1592
73,大立電視,1593,TV1593
74,國會頻道１,2614,TV2614
75,國會頻道2,420,TV420
76,海豚綜合,262,TV262
77,台灣地震監視,2637,TV2637
78,誠心電視,495,TV495
79,第一名電視,216,TV216
80,中視經典綜藝,2773,TV2773
81,三立新聞,43,TV43
82,三立新聞,2794,TV2794
83,三立新聞,2392,TV2392
84,三立新聞+,320,TV320
85,東森新聞,1025,TV1025
86,東森新聞4,2766,TV2766
87,東森新聞,1358,TV1358
88,東森新聞,2393,TV2393
89,東森亞洲,3,TV3
90,中天新聞2台,152,TV152
91,中天新聞,2420,TV2420
92,民視新聞,2395,TV2395
93,民視新聞,13,TV13
94,TVBS新聞,2736,TV2736
95,TVBS新聞,2,TV2
96,TVBS新聞,2396,TV2396
97,東森財經,2397,TV2397
98,東森財經,12,TV12
99,華視新聞,2424,TV2424
100,華視新聞,1171,TV1171
101,三立iNEWS,6,TV6
102,台視新聞,2399,TV2399
103,台視新聞,1,TV1
104,中視新聞,2400,TV2400
105,寰宇新聞,2401,TV2401
106,寰宇新聞,304,TV304
107,寰宇財經,2536,TV2536
108,公視新聞,20,TV20
109,寰宇臺灣,87,TV87
110,年代新聞,2719,TV2719
111,年代新聞,1099,TV1099
112,壹新聞,2777,TV2777
113,壹新聞,494,TV494
114,鏡新聞mnews,463,TV463
115,三立國際,2285,TV2285
116,CBN News,499,TV499
117,東森戲劇,2825,TV2825
118,東森戲劇,321,TV321
119,八大戲劇,81,TV81
120,緯來戲劇,2727,TV2727
121,緯來戲劇,339,TV339
122,東森電影,350,TV350
123,東森電影,2720,TV2720
124,緯來電影,2728,TV2728
125,HBO HD,332,TV332
126,HBO HD,2823,TV2823
127,東森洋片,1128,TV1128
128,壹電影,2284,TV2284
129,好萊塢電影,37,TV37
130,愛爾達影劇,500,TV500
131,CineMAX,346,TV346
132,靖天映畫,349,TV349
133,靖洋戲劇,319,TV319
134,緯來精彩,2280,TV2280
135,EYE戲劇,191,TV191
136,三立戲劇,64,TV64
137,三立戲劇,2819,TV2819
138,龍華偶像,385,TV385
139,霹靂臺灣,1339,TV1339
140,靖天電影,110,TV110
141,美亞電影,375,TV375
142,民視影劇,1023,TV1023
143,HBOSignature,329,TV329
144,HBOSignature,2824,TV2824
145,HBO Hits,330,TV330
146,采昌影劇,62,TV62
147,采昌影劇,2804,TV2804
148,影迷數位電影,497,TV497
149,影迷數位電影,2800,TV2800
150,龍華戲劇,365,TV365
151,龍華戲劇,2796,TV2796
152,龍華經典,100,TV100
153,龍翔時代,373,TV373
154,AXN臺灣,2816,TV2816
155,天映經典,2289,TV2289
156,公視戲劇,69,TV69
157,AXN亞洲,1066,TV1066
158,Trill恐怖電影,18,TV18
159,龍華電影,311,TV311
160,華納電影,83,TV83
161,靖天戲劇,109,TV109
162,龍華洋片,341,TV341
163,緯來體育,118,TV118
164,緯來體育,2732,TV2732
165,Eleven Sport 1,3224,TV3224
166,Eleven Sport 2,301,TV301
167,ELTA體育1,192,TV192
168,ELTA體育1,2729,TV2729
169,ELTA體育2,193,TV193
170,ELTA體育2,2730,TV2730
171,ELTA體育3,194,TV194
172,ELTA體育3,2731,TV2731
173,ELTA體育3台,2722,TV2722
174,ELTA體育4,2820,TV2820
175,Z頻道,1130,TV1130
176,博斯無限,381,TV381
177,博斯無限,2797,TV2797
178,博斯無限2,426,TV426
179,博斯無限2,2798,TV2798
180,博斯運動1,379,TV379
181,博斯運動2,380,TV380
182,亞洲旅遊,2299,TV2299
183,探索頻道,2817,TV2817
184,探索頻道,1035,TV1035
185,大陸尋奇,102,TV102
186,動物星球,367,TV367
187,民視旅遊,78,TV78
188,探索亞洲,306,TV306
189,探索科學,343,TV343
190,國家野生（英）,1038,TV1038
191,探索EVE,1036,TV1036
192,TaiwanPlus,327,TV327
193,視納華仁紀實,91,TV91
194,美食星球,3073,TV3073
195,美食星球,1360,TV1360
196,EYE旅遊,1494,TV1494
197,探索動力DMAX,335,TV335
198,Globetrotter 環遊旅行家,114,TV114
199,MOMO親子,2767,TV2767
200,MOMO親子,1126,TV1126
201,東森幼幼（備）,2771,TV2771
202,東森幼幼,371,TV371
203,東森亞洲呦呦,293,TV293
204,CN卡通,107,TV107
205,靖洋卡通,348,TV348
206,靖天卡通,344,TV344
207,大愛一臺,11,TV11
